name,description,image,external_url,serial,message,date,creator
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,35,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,36,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,37,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,38,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,39,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,40,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,41,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,42,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,43,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,44,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,45,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,46,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,47,goodbye rick,31-Mar-2023,yukapi
Team Buidling,goodbye rick,image.png,ipfs://QmeJX8KSLSjRWqStTNbgfaoTNpPysrYPV9P1zn6FjVU1uk,48,goodbye rick,31-Mar-2023,yukapi
